CO, Alcohol, CO2, Toluene, NH4, Acetone
633.45, 80.16, 114.20, 46.78, 105.17, 36.05
651.13, 81.96, 116.51, 47.92, 107.01, 36.91
680.31, 84.91, 120.28, 49.79, 110.00, 38.32
693.42, 86.23, 121.96, 50.63, 111.32, 38.95
701.01, 86.99, 122.93, 51.12, 112.09, 39.32
682.17, 85.10, 120.52, 49.91, 110.18, 38.41
667.41, 83.61, 118.62, 48.97, 108.68, 37.70
660.13, 82.87, 117.67, 48.50, 107.93, 37.34
642.24, 81.05, 115.35, 47.35, 106.09, 36.48
611.08, 77.86, 111.25, 45.33, 102.82, 34.96
501.91, 66.42, 96.42, 38.16, 90.87, 29.54
463.18, 62.25, 90.95, 35.57, 86.40, 27.58
442.21, 59.96, 87.94, 34.16, 83.92, 26.51
451.28, 60.95, 89.25, 34.77, 85.00, 26.97
422.06, 57.74, 85.01, 32.79, 81.50, 25.47
418.37, 57.34, 84.47, 32.54, 81.05, 25.28
336.65, 48.11, 72.13, 26.90, 70.71, 20.99
250.07, 37.84, 58.11, 20.74, 58.66, 16.27
271.41, 40.42, 61.67, 22.28, 61.76, 17.45
273.97, 40.73, 62.09, 22.47, 62.12, 17.60
285.29, 42.09, 63.95, 23.28, 63.72, 18.22
300.69, 43.91, 66.44, 24.37, 65.86, 19.05
248.48, 37.64, 57.84, 20.63, 58.43, 16.19
270.56, 40.32, 61.53, 22.22, 61.64, 17.41
307.23, 44.68, 67.49, 24.84, 66.76, 19.41
356.49, 50.38, 75.19, 28.29, 73.30, 22.04
368.42, 51.74, 77.01, 29.11, 74.83, 22.67
423.30, 57.88, 85.19, 32.87, 81.65, 25.53
451.28, 60.95, 89.25, 34.77, 85.00, 26.97
503.34, 66.57, 96.62, 38.25, 91.03, 29.61
499.05, 66.11, 96.02, 37.97, 90.54, 29.39
479.45, 64.01, 93.27, 36.66, 88.29, 28.40
543.38, 70.82, 102.15, 40.90, 95.51, 31.62
451.28, 60.95, 89.25, 34.77, 85.00, 26.97
424.54, 58.02, 85.37, 32.96, 81.80, 25.60
414.71, 56.93, 83.93, 32.29, 80.60, 25.09
382.96, 53.38, 79.21, 30.12, 76.67, 23.44
367.32, 51.62, 76.84, 29.04, 74.69, 22.61
341.78, 48.70, 72.92, 27.26, 71.38, 21.26
329.58, 47.29, 71.02, 26.41, 69.77, 20.61
283.52, 41.87, 63.66, 23.15, 63.48, 18.12
273.11, 40.63, 61.95, 22.40, 62.00, 17.55
309.12, 44.90, 67.79, 24.97, 67.02, 19.51
250.07, 37.84, 58.11, 20.74, 58.66, 16.27
243.79, 37.07, 57.04, 20.29, 57.73, 15.92
244.57, 37.16, 57.17, 20.34, 57.85, 15.97
270.56, 40.32, 61.53, 22.22, 61.64, 17.41
249.27, 37.74, 57.97, 20.68, 58.54, 16.23
233.13, 35.75, 55.22, 19.51, 56.13, 15.33
231.63, 35.57, 54.96, 19.40, 55.91, 15.24
250.86, 37.93, 58.24, 20.80, 58.78, 16.32
281.77, 41.66, 63.37, 23.02, 63.23, 18.02
289.75, 42.62, 64.67, 23.59, 64.35, 18.46
311.98, 45.24, 68.24, 25.17, 67.41, 19.66
286.18, 42.19, 64.09, 23.34, 63.85, 18.26
261.38, 39.21, 60.00, 21.56, 60.31, 16.90
243.01, 36.97, 56.91, 20.23, 57.62, 15.88
258.10, 38.81, 59.46, 21.32, 59.84, 16.72
260.55, 39.11, 59.87, 21.50, 60.19, 16.86
188.59, 30.12, 47.33, 16.20, 49.13, 12.78
359.71, 50.75, 75.68, 28.51, 73.71, 22.21
304.41, 44.35, 67.04, 24.64, 66.37, 19.26
311.98, 45.24, 68.24, 25.17, 67.41, 19.66
334.62, 47.87, 71.81, 26.76, 70.44, 20.88
473.97, 63.42, 92.49, 36.29, 87.66, 28.13
315.82, 45.69, 68.85, 25.44, 67.93, 19.87
385.24, 53.64, 79.55, 30.27, 76.95, 23.55
378.43, 52.87, 78.53, 29.80, 76.10, 23.20
381.82, 53.26, 79.04, 30.04, 76.53, 23.38
381.82, 53.26, 79.04, 30.04, 76.53, 23.38
389.83, 54.16, 80.24, 30.59, 77.53, 23.79
393.30, 54.55, 80.76, 30.83, 77.96, 23.98
